true_noise_sigma,true_inlier_ratio,episode_length,step1_best,final_best,realized_improvement
0.11495604490221407,0.7257249859219205,2,1.770976232324198,1.880053787061152,0.10907755473695402
0.19709596232134666,0.7198123989109452,1,1.689846282038152,1.689846282038152,0.0
0.19157311132461366,0.45045919481187946,3,1.3505486608035366,1.4502291573109458,0.09968049650740918
0.1816281867142821,0.7991815643291106,1,0.8187060943831465,0.8187060943831465,0.0
0.09677367344980818,0.2895312264399692,1,0.0,0.0,0.0
0.08113397259316181,0.12300074555116783,3,1.3748585582718533,1.692473302396628,0.31761474412477475
0.17390733844880468,0.1559738280114116,1,0.0,0.0,0.0
0.13895724730208722,0.6512253504139065,1,1.7135068332835655,1.7135068332835655,0.0
0.10164185531581872,0.4855834708393266,1,1.8222324672494947,1.8222324672494947,0.0
0.14030195854232183,0.5570069668668598,1,0.0,0.0,0.0
0.10301659263064444,0.07019863779341073,1,0.635818135657007,0.635818135657007,0.0
0.1015792179707423,0.20592814484493793,1,1.6462467813496975,1.6462467813496975,0.0
0.17351025795169145,0.48352491083417937,1,1.3160628322937173,1.3160628322937173,0.0
0.013808799221359847,0.14813488514202094,1,1.4801029706902729,1.4801029706902729,0.0
0.10069509982338987,0.6004050588051436,2,1.9350608142404768,1.9350608142404768,0.0
0.16722097476832726,0.3637683292691367,2,0.8760357509370981,1.789607113128407,0.913571362191309
0.026182042368618604,0.7658486487832596,2,1.8871364519920024,1.8871364519920024,0.0
0.026653283526794518,0.18491727147175363,1,1.3054841502871393,1.3054841502871393,0.0
0.0648642124276394,0.4948920314448859,5,0.0,1.9261510064660667,1.9261510064660667
0.18056596863369986,0.8350579467285445,2,0.0,0.0,0.0
0.10625678956797581,0.5730863442705094,4,0.0,1.8306492598892725,1.8306492598892725
0.1219158552074069,0.5928481240683029,1,1.8613550994766053,1.8613550994766053,0.0
0.16501113130100828,0.33650868820506097,1,1.4044985257191769,1.4044985257191769,0.0
0.12767318081789802,0.39336832060204463,4,1.563468817312288,1.7782925337330453,0.21482371642075737
0.11656278601767413,0.5596573147754282,1,1.837764642103073,1.837764642103073,0.0
0.14601272701574114,0.24759358162701534,1,1.7753052971131953,1.7753052971131953,0.0
0.14354036163763914,0.3885671149040568,3,0.0,1.7781961073945123,1.7781961073945123
