true_num_points,step_time_seconds
61633,0.6670651435852051
61633,0.5553052425384521
10679,0.7021267414093018
10819,0.3941535949707031
10819,0.22101569175720215
10819,0.19401979446411133
10558,0.3591015338897705
26063,0.3980238437652588
26063,0.29902100563049316
23293,0.4458940029144287
13608,0.35702061653137207
13608,0.45615339279174805
34819,0.3800232410430908
14902,0.46117138862609863
14902,0.20501279830932617
14902,0.17801117897033691
14902,0.20701074600219727
46370,0.44234728813171387
76881,0.9314320087432861
76881,0.667015790939331
14560,0.8894643783569336
17149,0.39099645614624023
24466,0.39617204666137695
76763,0.7012367248535156
37763,0.8520433902740479
37763,0.36521196365356445
15051,0.5680344104766846
22521,0.3691122531890869
22521,0.2190110683441162
34828,0.4330296516418457
28249,0.5443472862243652
28249,0.36202216148376465
28249,0.28107213973999023
34378,0.4690277576446533
34378,0.31218647956848145
20131,0.5610489845275879
20131,0.2520112991333008
39443,0.4733266830444336
39443,0.46116018295288086
32923,0.5631041526794434
23675,0.484058141708374
23675,0.27798938751220703
42493,0.5065629482269287
42493,0.3740260601043701
21373,0.5236756801605225
99876,0.7062208652496338
99876,0.7750473022460938
99876,0.7782671451568604
99876,0.8332479000091553
14620,0.9825353622436523
12597,0.30501866340637207
12597,0.17901182174682617
15267,0.2791869640350342
15267,0.20201325416564941
25140,0.3350210189819336
25140,0.24725031852722168
15442,0.48026108741760254
43396,0.7416641712188721
66376,0.751206636428833
32880,0.7282915115356445
17149,0.46724414825439453
55983,0.5040314197540283
27264,0.6770999431610107
15860,0.478116512298584
20271,0.3741626739501953
20271,0.22600865364074707
20271,0.21601629257202148
20271,0.21301054954528809
20068,0.3781604766845703
20068,0.229262113571167
20068,0.23904895782470703
13942,0.4160332679748535
13942,0.2220144271850586
14330,0.38602399826049805
86341,0.5644185543060303
86341,0.7080631256103516
67703,0.9789638519287109
67703,0.5727856159210205
17983,0.7362122535705566
27676,0.39102649688720703
27676,0.2930154800415039
56023,0.5761318206787109
56023,0.49755072593688965
20678,0.7926015853881836
34840,0.4924747943878174
34840,0.3414454460144043
98436,0.7562808990478516
11710,1.0802669525146484
11710,0.20601272583007812
11710,0.18301105499267578
11710,0.18010306358337402
11710,0.2200179100036621
17727,0.35701918601989746
17727,0.20101332664489746
23797,0.45305705070495605
37655,0.5650367736816406
37655,0.4212651252746582
11026,0.5872857570648193
11026,0.1871321201324463
11026,0.28401970863342285
11026,0.18400788307189941
67519,0.5431740283966064
11849,0.7571728229522705
11849,0.1850125789642334
20844,0.3600881099700928
20844,0.2650167942047119
66345,0.9214155673980713
66345,0.6416816711425781
24911,0.797429084777832
24911,0.2891252040863037
24911,0.3590242862701416
24911,0.3530235290527344
24911,0.2816886901855469
18831,0.6490442752838135
27679,0.4171321392059326
