true_noise_sigma,true_inlier_ratio,episode_length,step1_best,final_best,realized_improvement
0.08008642524044554,0.0821803323994793,1,1.5296514958783618,1.5296514958783618,0.0
0.11990979242460897,0.16488293841868332,1,1.198934303395964,1.198934303395964,0.0
0.09114244972680476,0.8510997989031195,1,1.8307427817711268,1.8307427817711268,0.0
0.01574167473713854,0.18525225859882807,2,1.8183488062244648,1.8869944909593417,0.06864568473487687
0.17419118941953504,0.5194654345934175,2,1.5964419807186314,1.65560932166814,0.059167340949508596
0.15363622330016502,0.7571365081398478,1,1.6902414802893881,1.6902414802893881,0.0
0.12292956362067214,0.4294787761583623,1,1.8668224013749248,1.8668224013749248,0.0
0.01773115663011163,0.3717926021672594,2,1.9341707744194432,1.9399869366354312,0.005816162215988019
0.17308425743528497,0.7231889238205156,1,1.5809261609828789,1.5809261609828789,0.0
0.05234102959826224,0.20659844701094707,1,0.0,0.0,0.0
0.08327526806611751,0.5142365871008461,3,1.7731281061365114,1.8225947246574297,0.04946661852091827
0.06997739049412467,0.21773435854547696,4,0.0,1.7936965390924038,1.7936965390924038
0.014646639131762902,0.5362463589874754,5,1.9468183323821322,1.9510723233360028,0.004253990953870579
0.04545807607839171,0.137492905838185,2,0.0,1.156269275893171,1.156269275893171
0.11487607486860343,0.4320751319134324,1,1.7669366251747296,1.7669366251747296,0.0
0.08990757280386141,0.5324374983190929,1,1.860615210025369,1.860615210025369,0.0
0.1026804418293036,0.8585989060529156,5,1.8599732427442714,1.8724860232785732,0.012512780534301715
0.09304604830891841,0.6929616756824402,1,1.8199768877729223,1.8199768877729223,0.0
0.11815066478138872,0.3962719120557281,1,0.0,0.0,0.0
0.1610763751623783,0.7637987376771622,1,1.7992419435959028,1.7992419435959028,0.0
0.093535398581391,0.2914354166641868,3,1.7451405650769645,1.7646179780577107,0.019477412980746234
0.14318835061697857,0.8317443662526922,5,1.7562609636892907,1.8369833396075108,0.08072237591822007
0.12273637850457819,0.0664726179664243,1,0.0,0.0,0.0
0.13683741641914834,0.2534074407326613,2,1.482910337632645,1.644803069475107,0.1618927318424621
0.1342845308494408,0.21470052270470066,3,1.722030083309587,1.722030083309587,0.0
0.06703496748063958,0.7987100301094999,2,1.9628950692059601,1.9628950692059601,0.0
0.036139805668243735,0.3284725527521606,1,1.8379955205116336,1.8379955205116336,0.0
0.08076895484957021,0.1611684642305903,1,1.7086566626689637,1.7086566626689637,0.0
0.071351684615582,0.32937950672193284,4,1.7465119472122852,1.8624546839576879,0.11594273674540267
